Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,Survey ID,visited_before,how_many_past_visits,What words or phrases on this list do you most associate with George Washington? Select all that apply.,,,,,,,,,,,,,,,,George Washington’s choices and actions affected many people who lived during his time,People living at the same time as George Washington influenced the choices he made,People in the past had the same values and beliefs as people today,George Washington's choices and actions do not affect the world today,The choices and actions of ordinary people from George Washington’s lifetime influenced the world today,George Washington was able to set his emotions aside to make important decisions,People and societies' beliefs and values change over time,Other (please specify),perceptions GW actions,One very important decision George Washington is remembered for was stepping away from the role of president when he could have been elected again.  How do you think George Washington felt when he stepped down as president? Why do you think he felt what way?,Imagine George Washington decided to stay president instead of stepping away from the role of president.  How do you think our world might be different today?  Anything else?,I do not think regular people can do much to make their community a better place,I think public figures can make the world a better place,I am inspired by the actions of regular people from the past to make the world a better place,I am inspired by in the actions of public figures from the past to make the world a better place,[TREATMENT ONLY] What was the highlight of your visit?  Tell me why that was the highlight.,[TREATMENT ONLY] What did you think about or learn at Mount Vernon that is relevant or inspiring to you?,I thought Mount Vernon presented information about the past from many different people's perspectives,I will tell my friends or family about my visit to Mount Vernon,I thought Mount Vernon was boring,I was surprised at how much I didn't know about George Washington and his life,I thought Mount Vernon was fun,I felt frustrated while visiting Mount Vernon,I'm curious to learn more about how George Washington influenced the world today,I felt amazed by Mount Vernon,I learned a lot more about hired workers and enslaved individuals at Mount Vernon than I expected,Visited GW house inside,Visited GW house outside,Visited slave quarters,Visited outbuildings,Visited farm,Visited Museum Ed Center,Saw live animals,Visited gardens orchards,Visited new tomb,Visited slave memorial,Visited Gristmill or Distillery,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,Watched one of the movies in the Museum or Education Center,Ate at the food court,Ate at the food truck,Ate at Mount Vernon Inn restaurant,Visited the shops,Attended a wreath laying or flag raising,Activity cart/discovery station,Hands on History Room,Took a picture of something I thought was interesting,,What is your favorite subject to learn about? Select one:,,Are you part of any clubs or youth organizations?,How old are you?,What state do you live in?,[If VA or MD] what city do you live in? ,Study group,Observed Gender:,Only child in group,Group included child(ren) 0-3,Group included child(ren) 4-7,Group included child(ren) 8-10 (other than interviewee),Group included child(ren) 11-14,Group included child(ren) 15-17,Day ,Date,Time ,Data Collector:,,Any programs happening?,,Other Notes
1.14E+11,421179304,10/1/2022 0:16,10/1/2022 0:20,69.255.24.203,,LG109,"No, I have not visited before today [skip to Q3]",,President,General,,Farmer,,,Leader,,,,,Husband/family man,,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,,Mostly positive and a little negative,Relieved but like not as happy that he's not doing it anymore. He was first one to be president and his decisions have to be someone else's decisions. But also happy he can do other things now.,not that different.,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Going inside the mansion. What houses looked like back then.,"All the jobs that they had, shoemaker, stocked food, and things.",Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,,,,Ate at Mount Vernon Inn restaurant,Visited the shops,,,,Took a picture of something I thought was interesting,,Sports,,Yes,11,New York,,Treatment (exit),Girl,,,,,Group included child(ren) 11-14,,Weekday,8/11/2022,Afternoon,LG,,No,,"On #6 grandmother intervened, but respondent continued to think and gave her own answer."
1.14E+11,421179304,10/1/2022 0:10,10/1/2022 0:16,69.255.24.203,,LG108,"No, I have not visited before today [skip to Q3]",,President,General,Soldier,Farmer,Slave Owner,,Leader,,Founder,,,Husband/family man,,,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,,Mostly positive and a little negative,"Kind of like maybe, kind of…a little like he didn’t want to but he needed to I think he felt like he needed to do it to like show people how to move on from him and get a new person.","Maybe most people today people would do a lot more, like follow him.",Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"I like the part where we were listening. Learning about the slaves - the different building, what it was like back then.","Just how GW put in so much effort, he woke up at 4 o'clock in the morning.",Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,,Watched one of the movies in the Museum or Education Center,Ate at the food court,,,Visited the shops,,,,Took a picture of something I thought was interesting,,Math and puzzles,,Yes,10,"Ontario, Canada",,Treatment (exit),Girl,,,Group included child(ren) 4-7,,Group included child(ren) 11-14,,Weekday,8/11/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/30/2022 23:17,10/1/2022 0:09,69.255.24.203,,LG107,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,,,,,,,"Other, please explain:",Fair and Just,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,,Somewhat positive and somewhat negative,"That he could have stayed longer but he knew it was the right thing to do. Because other people wanted to be President, too, and he thought he would give them a chance.",I don't think this would be as beautiful a place as it is today.,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Probably the national treasure tour. The basement was cold.,I didn't know he gave up his presidency,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,Watched one of the movies in the Museum or Education Center,,,,,Attended a wreath laying or flag raising,Activity cart/discovery station,,Took a picture of something I thought was interesting,,Art and culture,,No,10,New Jersey,,Treatment (exit),Girl,,,,,Group included child(ren) 11-14,Group included child(ren) 15-17,Weekday,8/11/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/30/2022 22:52,9/30/2022 23:16,69.255.24.203,,LG106,"No, I have not visited before today [skip to Q3]",,President,General,Soldier,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,,Mostly positive and a little negative,"Good, because he didn't have to deal with so much any more.",A little better. Some different stuff in America.,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,The animals. They were nice.,George Washington had a big place.,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",Visited the farm (near the riverfront),Visited the Museum or Education Center (where the exhibits with historic objects and movies are),Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,,,,,Visited the shops,,Activity cart/discovery station,,Took a picture of something I thought was interesting,,Science and nature,,Yes,10,North Carolina,,Treatment (exit),Boy,,,Group included child(ren) 4-7,,,,Weekday,8/11/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/30/2022 22:46,9/30/2022 22:52,69.255.24.203,,LG105,"No, I have not visited before today [skip to Q3]",,President,General,,,Slave Owner,,Leader,,,,,,,,,,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,,Somewhat positive and somewhat negative,"Well, I think he might have felt like he felt surprised that he was doing that [turning down being a king]. A lot of people wouldn't do that, turn down being a king.","If it was in my opinion, I would say it would make it kind of like GW would technically be a king until he died and that would be really bad, like if Trump got elected after Obama died that would be really bad for everybody.",Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,"I'm going to say being able to be here at Mt. Vernon for the very first time and it's really cool, because I've never seen something like this.","Something inspiring would be learning how all those slaves just like Hercules, how he escaped, and how their actions sort of inspired me to don't let anyone have absolute total power over you.",Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,,Saw live animals,Visited the gardens and orchards,Visited Washington’s New Tomb,Visited the Slave Memorial and Cemetery,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,Watched a performance of someone in costume,Watched the introductory movie at the Orientation Center,,Ate at the food court,,,Visited the shops,,Activity cart/discovery station,,Took a picture of something I thought was interesting,,History and current events,,Yes,10,Wisconsin,,Treatment (exit),Boy,,,Group included child(ren) 4-7,,Group included child(ren) 11-14,,Weekday,8/11/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/30/2022 22:03,9/30/2022 22:46,69.255.24.203,,LG104,"No, I have not visited before today [skip to Q3]",,,,,,,,Leader,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,All positive,A bit sad but proud. He felt proud of what he'd done and he knows people will follow his way.,"Better, it would be have been way better. Probably. He's a good decision-maker.",Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,"His house, like seeing what it was like and how much different it is from now.","I should be proud that I don't have to do the things that some of them had to do, like make really hard decisions.",Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,George Washington’s house (went inside),George Washington’s house (viewed from outside),Visited the slave quarters,"Visited historic outbuildings (e.g., blacksmith shop, spinning house, smokehouse, etc.)",,Visited the Museum or Education Center (where the exhibits with historic objects and movies are),,Visited the gardens and orchards,,,,Learned about George Washington’s life and family,"Learned about trades like the blacksmith, shoemaker, cooking, textiles, etc.",Learned about the enslaved and hired people who lived and worked at Mount Vernon,,,,Ate at the food court,,,Visited the shops,,,,Took a picture of something I thought was interesting,,History and current events,,Yes,12,Missouri,,Treatment (exit),Girl,Only child in group,,,,,,Weekday,8/11/2022,Afternoon,LG,,No,,
1.14E+11,421179304,9/30/2022 21:58,9/30/2022 22:02,69.255.24.203,,SM170,"No, I have not visited before today [skip to Q3]",,President,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,,Mostly positive and a little negative,"Felt like he needed to be other places, needed to let other people fill his shoes.","Different laws, the person after him made a lot of new laws. Every president would be able to be president until they die.",Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science and nature,,Yes,11,Arkansas,,Control (entry),Boy,Only child in group,,,,,,Weekday,8/9/2022,Afternoon,SM,,No,,Data collector stationed inside orientation center. See SM 161 for more info on line placement.
1.14E+11,421179304,9/30/2022 21:54,9/30/2022 21:58,69.255.24.203,,SM169,"Yes, I have visited before",1 time,President,General,,,,,Leader,,,,Advocate for religious freedom,Husband/family man,,,,,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,,Mostly positive and a little negative,"Felt like, ""I'm finished, I did a great thing, history will be different, the world will be a great place for people to enjoy.""","John Adams' choices (and Thomas Jefferson's choices) would be different, buildings would be different (some might not exist at all).",Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History and current events,,Yes,10,Virginia,Alexandria,Control (entry),Girl,,,,Group included child(ren) 8-10 (other than interviewee),Group included child(ren) 11-14,,Weekday,8/9/2022,Afternoon,SM,,No,,"Child was part of a large family group with multiple children. Other kids in group often shouted out their response to questions, but this did not seem to affect the responses of the 1 child being interviewed"
1.14E+11,421179304,9/30/2022 21:51,9/30/2022 21:54,69.255.24.203,,SM168,"No, I have not visited before today [skip to Q3]",,President,,,,,,Leader,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,,All positive,Felt like stepping down so someone else could get a chance.,Not as many presidents. Might have been some bad parts of GW being president for longer. He could have made some bad decisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History and current events,,No,9,Maryland,Gaithersburg,Control (entry),Girl,Only child in group,,,,,,Weekday,8/9/2022,Afternoon,SM,,No,,*Parent stated that they had already done the mansion tour and visited the gift shop
1.14E+11,421179304,9/30/2022 21:48,9/30/2022 21:51,69.255.24.203,,SM167,"No, I have not visited before today [skip to Q3]",,President,General,,,Slave Owner,,,,,,,Husband/family man,,,,,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,,Somewhat positive and somewhat negative,"A little angry but also okay. He'd already been president for a long time, he decided it was time to move on to something new.","More violence, maybe a little nicer - it could go either way.",Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science and nature,,Yes,10,California,,Control (entry),Boy,,,Group included child(ren) 4-7,,Group included child(ren) 11-14,,Weekday,8/9/2022,Afternoon,SM,,No,,Data collector stationed inside orientation center. See SM 161 for more info on line placement.
